# {"t_start": 1585585018.7087429, "env_id": "MountainCarContinuous-v0"} 
r,l,t
-5.036989,999,306.534915
-5.362209,999,307.013298
-5.081393,999,307.441832
-5.087713,999,307.917317
-4.656768,999,308.347645
-5.330328,999,308.837688
-5.194001,999,309.267618
-5.178169,999,309.747588
-4.537299,999,310.182043
-4.809689,999,310.657991
-5.115863,999,311.086552
-4.695621,999,311.564039
-5.056311,999,311.998552
-4.85982,999,312.474927
-4.8693,999,312.9056
-4.833569,999,313.381427
-4.834979,999,313.812953
-5.204925,999,314.28869
-5.402777,999,314.716585
-5.006623,999,315.203231
-5.043336,999,315.633048
-4.881862,999,316.123457
-4.722582,999,316.553777
-4.680546,999,316.996597
-4.735384,999,317.472414
-4.727345,999,317.905491
-4.628738,999,318.388129
-4.760047,999,318.819582
-4.665509,999,319.298255
-4.408522,999,319.727321
-4.538196,999,320.214704
-4.462877,999,320.646556
-4.585056,999,321.124627
-4.402324,999,321.553599
-4.764278,999,322.033455
-4.660466,999,322.463448
-4.669872,999,322.939154
-4.40158,999,323.3691
-4.372575,999,323.856079
-4.717465,999,324.28689
-4.529849,999,324.777419
-4.532626,999,325.206238
-4.363695,999,325.68045
-4.486098,999,326.106136
-4.346018,999,326.584899
-4.393383,999,327.023718
-4.164051,999,327.506034
-4.557946,999,327.938338
-4.1927,999,328.418842
-4.341383,999,328.856468
-4.089893,999,329.339898
-4.458714,999,329.773304
-4.215161,999,330.249333
-4.395246,999,330.679795
-4.306787,999,331.161633
-4.008777,999,331.629385
-4.263647,999,332.106266
-3.991438,999,332.536833
-4.505167,999,333.017767
-3.843192,999,333.494478
-4.012703,999,333.977294
-3.857333,999,334.405064
-4.35889,999,334.881608
-4.187262,999,335.310174
-4.114947,999,335.745315
-3.909981,999,336.222109
-3.832401,999,336.653783
-4.162255,999,337.140775
-4.43156,999,337.571036
-3.643736,999,338.0506
-4.015183,999,338.480595
-4.037499,999,338.962946
-3.788228,999,339.393412
-3.889112,999,339.873359
-3.750726,999,340.304531
-4.194949,999,340.792164
-3.84127,999,341.222197
-3.789623,999,341.699495
-3.790427,999,342.131389
-3.897256,999,342.610333
-3.659997,999,343.042859
-3.9402,999,343.518439
-3.426742,999,343.947409
-3.768141,999,344.423176
-3.743039,999,344.859759
-3.589798,999,345.338266
-3.577919,999,345.771304
-3.9848,999,346.251675
-3.613289,999,346.680555
-3.686952,999,347.157685
-3.412552,999,347.587901
-3.765463,999,348.070232
-3.445941,999,348.501651
-3.607212,999,348.980477
-3.494105,999,349.410046
-3.651664,999,349.883248
-3.63617,999,350.314128
-3.501831,999,350.798499
-3.44717,999,351.227258
-3.584054,999,351.704516
-3.543379,999,352.141369
-3.630065,999,352.617383
-3.560022,999,353.063633
-3.478574,999,353.541214
-3.190306,999,353.975621
-3.314269,999,354.404939
